index,gene_name,chromo,mean_expression
0,GENE_00000,chr1,0.2632891741507569
1,GENE_00001,chr2,0.0717820244030325
2,GENE_00002,chr3,0.22185846333561468
3,GENE_00003,chr4,0.2595282344545986
4,GENE_00004,chr5,0.16604187390841346
5,GENE_00005,chr6,0.2268704670107423
6,GENE_00006,chr7,0.3668765951669008
7,GENE_00007,chr8,0.24631517217796417
8,GENE_00008,chr9,0.10307049098991473
9,GENE_00009,chr10,0.034961341731384654
10,GENE_00010,chr11,0.33326127494167007
11,GENE_00011,chr12,0.106086456626726
12,GENE_00012,chr13,0.10969258232191591
13,GENE_00013,chr14,0.253828253714599
14,GENE_00014,chr15,0.2517834532266386
15,GENE_00015,chr16,0.11030312764944157
16,GENE_00016,chr17,0.12174964636581474
17,GENE_00017,chr18,0.2426846214430003
18,GENE_00018,chr19,0.4148994722310597
19,GENE_00019,chr20,0.5615420070701829
20,GENE_00020,chr21,0.2495061763011942
21,GENE_00021,chr22,0.400919348805503
22,GENE_00022,chr1,0.2641410695716347
23,GENE_00023,chr2,0.3819462365272154
24,GENE_00024,chr3,0.3744989754143588
25,GENE_00025,chr4,0.2618746321244733
26,GENE_00026,chr5,0.3785071364683124
27,GENE_00027,chr6,0.3961654926141784
28,GENE_00028,chr7,0.35465638652176984
29,GENE_00029,chr8,0.23011137824316694
30,GENE_00030,chr9,0.10264159961819964
31,GENE_00031,chr10,0.366789866146939
32,GENE_00032,chr11,0.46714644055090526
33,GENE_00033,chr12,0.27034032307040273
34,GENE_00034,chr13,0.4513637338011942
35,GENE_00035,chr14,0.18338917400086152
36,GENE_00036,chr15,0.28918637567670846
37,GENE_00037,chr16,0.04819847596845976
38,GENE_00038,chr17,0.51393330993403
39,GENE_00039,chr18,0.26567333047518565
40,GENE_00040,chr19,0.3729708480953941
41,GENE_00041,chr20,0.14158663092876464
42,GENE_00042,chr21,0.12398321175484814
43,GENE_00043,chr22,0.16300988023238058
44,GENE_00044,chr1,0.2988352083178675
45,GENE_00045,chr2,0.24601774603319898
46,GENE_00046,chr3,0.13343567714079474
47,GENE_00047,chr4,0.732076364266039
48,GENE_00048,chr5,0.17683013377699544
49,GENE_00049,chr6,0.1371827419354982
50,GENE_00050,chr7,0.26697253781096764
51,GENE_00051,chr8,0.4350975235195466
52,GENE_00052,chr9,0.6390210923645732
53,GENE_00053,chr10,0.10671897241621178
54,GENE_00054,chr11,0.2539658664313281
55,GENE_00055,chr12,0.24077538558576203
56,GENE_00056,chr13,0.3541896709926191
57,GENE_00057,chr14,0.11650570382920467
58,GENE_00058,chr15,0.4313007958376851
59,GENE_00059,chr16,0.1420138491919314
60,GENE_00060,chr17,0.11787791780942149
61,GENE_00061,chr18,0.21191515751596546
62,GENE_00062,chr19,0.21013287094356561
63,GENE_00063,chr20,0.08357914374466396
64,GENE_00064,chr21,0.16112893212429977
65,GENE_00065,chr22,0.5622656924359817
66,GENE_00066,chr1,0.23860456307260647
67,GENE_00067,chr2,0.27574931861103896
68,GENE_00068,chr3,0.3445829715170647
69,GENE_00069,chr4,0.23314851294317246
70,GENE_00070,chr5,0.18045692998505397
71,GENE_00071,chr6,0.4634183950908978
72,GENE_00072,chr7,0.4338311113700305
73,GENE_00073,chr8,0.23557035636392182
74,GENE_00074,chr9,0.4007497468507341
75,GENE_00075,chr10,0.27860758306224437
76,GENE_00076,chr11,0.17895285249027623
77,GENE_00077,chr12,0.48095608854799976
78,GENE_00078,chr13,0.2966133275844748
79,GENE_00079,chr14,0.39765366997687585
80,GENE_00080,chr15,0.5387155814826528
81,GENE_00081,chr16,0.1939778944631261
82,GENE_00082,chr17,0.47768696486693296
83,GENE_00083,chr18,0.35948300329395616
84,GENE_00084,chr19,0.6339012042784385
85,GENE_00085,chr20,0.4040193699216803
86,GENE_00086,chr21,0.10085543487964137
87,GENE_00087,chr22,0.39501841415006766
88,GENE_00088,chr1,0.3651161158997524
89,GENE_00089,chr2,0.24890988746201725
90,GENE_00090,chr3,0.28970699496263
91,GENE_00091,chr4,0.46499550829612646
92,GENE_00092,chr5,0.17915999037234914
93,GENE_00093,chr6,0.25250958690602554
94,GENE_00094,chr7,0.3696149167739828
95,GENE_00095,chr8,0.5923368509390009
96,GENE_00096,chr9,0.0348925043942419
97,GENE_00097,chr10,0.3977820790133522
98,GENE_00098,chr11,0.0960892502318814
99,GENE_00099,chr12,0.15759630484981924
